id,X_URI,instanceID,X_PARENT_AURI,log_action,log_description,log_date,log_timestamp,log_index,rta_form_id
5,uuid:f1907e46-daa2-45dc-b32a-1766fd195a85,uuid:641fa0a0-30e0-48a1-9db0-5f0f42b5a8e4,uuid:641fa0a0-30e0-48a1-9db0-5f0f42b5a8e4,formOpen,Form Opening,1513434718476,2017-12-16 21:31:58,beginningOfForm,
7,uuid:465481c2-d18e-4fe5-b3ae-300b51bb1074,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,formOpen,Form Opening,1513436235955,2017-12-16 21:57:15,beginningOfForm,
8,uuid:ac94d437-4fb3-4e5d-8f8d-3e276c650966,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,formOpen,Form Opening,1513436785156,2017-12-16 22:06:25,beginningOfForm,
9,uuid:161d7b80-d963-4795-9c6b-541785245914,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,TOC,Table of Content (Prompt List),1513436785524,2017-12-16 22:06:25,beginningOfForm,
10,uuid:1f8e8c4e-6a79-4a94-adea-330ec81ec4fc,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,uuid:60ffc067-5c54-4d56-bf9a-83e824ceb613,TOC,Table of Content (Prompt List),1513436791011,2017-12-16 22:06:31,question./BW_BASELINE_SURVEY_OFFICIAL_G1/bw12_gg[1]/bw12_1_gg[1]/bw_note_10[1],
15,uuid:776eb4c1-a0c1-4edc-906b-cbe16f5a0635,uuid:bfacb873-463e-41ed-8ba5-6a4dd08fb97a,uuid:bfacb873-463e-41ed-8ba5-6a4dd08fb97a,formOpen,Form Opening,1513437682146,2017-12-16 22:21:22,beginningOfForm,
16,uuid:0e9d1915-3693-4b35-af84-032752fea843,uuid:bfacb873-463e-41ed-8ba5-6a4dd08fb97a,uuid:bfacb873-463e-41ed-8ba5-6a4dd08fb97a,buttonB,Back button,1513438407700,2017-12-16 22:33:27,question./BW_BASELINE_SURVEY_OFFICIAL_G1/bw15_gg[1]/bw15_3_gg[1]/bw_l4[1],
17,uuid:877b87df-67d0-4aaa-bb3d-ebf0e6558333,uuid:bfacb873-463e-41ed-8ba5-6a4dd08fb97a,uuid:bfacb873-463e-41ed-8ba5-6a4dd08fb97a,buttonB,Back button,1513438529895,2017-12-16 22:35:29,question./BW_BASELINE_SURVEY_OFFICIAL_G1/bw16_gg[1]/bw16_3_gg[1]/bw_m5[1],
21,uuid:dbd909c5-13fc-4b7d-bdb0-93ee5a6aab9d,uuid:2ac98697-23ad-4cbc-b433-b4e033914e10,uuid:2ac98697-23ad-4cbc-b433-b4e033914e10,formOpen,Form Opening,1513444996160,2017-12-17 00:23:16,beginningOfForm,
22,uuid:8a905ff2-6cb5-4180-b8ee-ac6fa7546d26,uuid:2ac98697-23ad-4cbc-b433-b4e033914e10,uuid:2ac98697-23ad-4cbc-b433-b4e033914e10,buttonB,Back button,1513458344409,2017-12-17 04:05:44,question./BW_BASELINE_SURVEY_OFFICIAL_G1/bw7_gg[1]/bw7_1_gg[1]/bw_d1[1],
